speaker file snr pesq_noisy pesq_enhanced
1 f2_4_x-c0987_ARK_16k_ch01_snr_0 0 2.571000 2.736000
1 f2_4_x-c0987_ARK_16k_ch01_snr_10 10 3.339000 3.087000
1 f2_4_x-c0987_ARK_16k_ch01_snr_15 15 3.640000 3.186000
1 f2_4_x-c0987_ARK_16k_ch01_snr_5 5 3.004000 2.940000
1 f2_4_x-c0987_CAR_16k_ch01_snr_0 0 3.404000 3.113000
1 f2_4_x-c0987_CAR_16k_ch01_snr_10 10 3.953000 3.216000
1 f2_4_x-c0987_CAR_16k_ch01_snr_15 15 4.125000 3.220000
1 f2_4_x-c0987_CAR_16k_ch01_snr_5 5 3.715000 3.177000
1 f2_4_x-c0987_HEN_16k.ch01_snr_0 0 2.311000 2.584000
1 f2_4_x-c0987_HEN_16k.ch01_snr_10 10 3.046000 2.984000
1 f2_4_x-c0987_HEN_16k.ch01_snr_15 15 3.469000 3.130000
1 f2_4_x-c0987_HEN_16k.ch01_snr_5 5 2.687000 2.788000
1 f2_4_x-c0987_ING_16k_ch01_snr_0 0 2.195000 2.142000
1 f2_4_x-c0987_ING_16k_ch01_snr_10 10 2.952000 2.696000
1 f2_4_x-c0987_ING_16k_ch01_snr_15 15 3.248000 2.996000
1 f2_4_x-c0987_ING_16k_ch01_snr_5 5 2.597000 2.391000
1 f2_4_x-c0987_n16_snr_0 0 1.726000 1.732000
1 f2_4_x-c0987_n16_snr_10 10 2.086000 2.302000
1 f2_4_x-c0987_n16_snr_15 15 2.465000 2.606000
1 f2_4_x-c0987_n16_snr_5 5 1.830000 1.997000
1 f2_4_x-c0987_n17_snr_0 0 1.472000 1.548000
1 f2_4_x-c0987_n17_snr_10 10 1.902000 2.225000
1 f2_4_x-c0987_n17_snr_15 15 2.303000 2.517000
1 f2_4_x-c0987_n17_snr_5 5 1.604000 1.914000
1 f2_4_x-c0987_n28_snr_0 0 1.717000 1.810000
1 f2_4_x-c0987_n28_snr_10 10 2.207000 2.556000
1 f2_4_x-c0987_n28_snr_15 15 2.585000 2.825000
1 f2_4_x-c0987_n28_snr_5 5 1.907000 2.154000
1 f2_4_x-c0987_n29_snr_0 0 1.486000 2.072000
1 f2_4_x-c0987_n29_snr_10 10 2.270000 2.663000
1 f2_4_x-c0987_n29_snr_15 15 2.668000 2.856000
1 f2_4_x-c0987_n29_snr_5 5 1.844000 2.429000
1 f2_4_x-c0987_n68_snr_0 0 1.367000 1.882000
1 f2_4_x-c0987_n68_snr_10 10 2.129000 2.523000
1 f2_4_x-c0987_n68_snr_15 15 2.518000 2.726000
1 f2_4_x-c0987_n68_snr_5 5 1.730000 2.252000
1 f2_4_x-c0987_n69_snr_0 0 1.233000 1.676000
1 f2_4_x-c0987_n69_snr_10 10 1.821000 2.257000
1 f2_4_x-c0987_n69_snr_15 15 2.217000 2.526000
1 f2_4_x-c0987_n69_snr_5 5 1.454000 1.970000
1 f2_4_x-c0987_n77_snr_0 0 1.718000 1.590000
1 f2_4_x-c0987_n77_snr_10 10 2.237000 2.229000
1 f2_4_x-c0987_n77_snr_15 15 2.601000 2.551000
1 f2_4_x-c0987_n77_snr_5 5 1.936000 1.919000
1 f2_4_x-c0987_n78_snr_0 0 1.837000 1.790000
1 f2_4_x-c0987_n78_snr_10 10 2.400000 2.370000
1 f2_4_x-c0987_n78_snr_15 15 2.771000 2.695000
1 f2_4_x-c0987_n78_snr_5 5 2.083000 2.024000
1 f2_4_x-c0987_STATION_ch01_snr_0 0 1.653000 2.006000
1 f2_4_x-c0987_STATION_ch01_snr_10 10 2.576000 2.702000
1 f2_4_x-c0987_STATION_ch01_snr_15 15 3.010000 2.941000
1 f2_4_x-c0987_STATION_ch01_snr_5 5 2.116000 2.376000
1 f2_4_x-c0987_STO_16k_ch01_snr_0 0 1.367000 1.602000
1 f2_4_x-c0987_STO_16k_ch01_snr_10 10 2.130000 2.368000
1 f2_4_x-c0987_STO_16k_ch01_snr_15 15 2.595000 2.715000
1 f2_4_x-c0987_STO_16k_ch01_snr_5 5 1.705000 1.952000
1 f2_4_x-c0987_TER_16k_ch01_snr_0 0 1.872000 2.164000
1 f2_4_x-c0987_TER_16k_ch01_snr_10 10 2.704000 2.785000
1 f2_4_x-c0987_TER_16k_ch01_snr_15 15 3.099000 3.021000
1 f2_4_x-c0987_TER_16k_ch01_snr_5 5 2.271000 2.506000
1 f2_4_x-c0987_WAY_16k_ch01_snr_0 0 3.146000 3.038000
1 f2_4_x-c0987_WAY_16k_ch01_snr_10 10 3.718000 3.197000
1 f2_4_x-c0987_WAY_16k_ch01_snr_15 15 3.902000 3.212000
1 f2_4_x-c0987_WAY_16k_ch01_snr_5 5 3.481000 3.142000
1 f2_4_x-c1319_ARK_16k_ch01_snr_0 0 2.319000 2.685000
1 f2_4_x-c1319_ARK_16k_ch01_snr_10 10 2.958000 3.086000
1 f2_4_x-c1319_ARK_16k_ch01_snr_15 15 3.218000 3.237000
1 f2_4_x-c1319_ARK_16k_ch01_snr_5 5 2.664000 2.907000
1 f2_4_x-c1319_CAR_16k_ch01_snr_0 0 3.151000 3.169000
1 f2_4_x-c1319_CAR_16k_ch01_snr_10 10 3.799000 3.394000
1 f2_4_x-c1319_CAR_16k_ch01_snr_15 15 4.058000 3.437000
1 f2_4_x-c1319_CAR_16k_ch01_snr_5 5 3.498000 3.293000
1 f2_4_x-c1319_HEN_16k.ch01_snr_0 0 2.189000 2.529000
1 f2_4_x-c1319_HEN_16k.ch01_snr_10 10 2.866000 2.950000
1 f2_4_x-c1319_HEN_16k.ch01_snr_15 15 3.122000 3.170000
1 f2_4_x-c1319_HEN_16k.ch01_snr_5 5 2.546000 2.730000
1 f2_4_x-c1319_ING_16k_ch01_snr_0 0 2.214000 2.085000
1 f2_4_x-c1319_ING_16k_ch01_snr_10 10 2.845000 2.943000
1 f2_4_x-c1319_ING_16k_ch01_snr_15 15 3.113000 3.134000
1 f2_4_x-c1319_ING_16k_ch01_snr_5 5 2.557000 2.630000
1 f2_4_x-c1319_n16_snr_0 0 1.707000 1.920000
1 f2_4_x-c1319_n16_snr_10 10 2.113000 2.406000
1 f2_4_x-c1319_n16_snr_15 15 2.386000 2.670000
1 f2_4_x-c1319_n16_snr_5 5 1.888000 2.146000
1 f2_4_x-c1319_n17_snr_0 0 1.301000 1.795000
1 f2_4_x-c1319_n17_snr_10 10 2.049000 2.355000
1 f2_4_x-c1319_n17_snr_15 15 2.343000 2.588000
1 f2_4_x-c1319_n17_snr_5 5 1.792000 2.088000
1 f2_4_x-c1319_n28_snr_0 0 1.871000 2.085000
1 f2_4_x-c1319_n28_snr_10 10 2.316000 2.637000
1 f2_4_x-c1319_n28_snr_15 15 2.607000 2.891000
1 f2_4_x-c1319_n28_snr_5 5 2.068000 2.369000
1 f2_4_x-c1319_n29_snr_0 0 1.220000 2.097000
1 f2_4_x-c1319_n29_snr_10 10 2.283000 2.596000
1 f2_4_x-c1319_n29_snr_15 15 2.581000 2.820000
1 f2_4_x-c1319_n29_snr_5 5 1.984000 2.357000
1 f2_4_x-c1319_n68_snr_0 0 1.312000 1.891000
1 f2_4_x-c1319_n68_snr_10 10 1.980000 2.468000
1 f2_4_x-c1319_n68_snr_15 15 2.352000 2.683000
1 f2_4_x-c1319_n68_snr_5 5 1.656000 2.205000
1 f2_4_x-c1319_n69_snr_0 0 1.459000 1.831000
1 f2_4_x-c1319_n69_snr_10 10 1.884000 2.307000
1 f2_4_x-c1319_n69_snr_15 15 2.217000 2.544000
1 f2_4_x-c1319_n69_snr_5 5 1.610000 2.057000
1 f2_4_x-c1319_n77_snr_0 0 3.183000 1.671000
1 f2_4_x-c1319_n77_snr_10 10 2.127000 2.330000
1 f2_4_x-c1319_n77_snr_15 15 2.455000 2.676000
1 f2_4_x-c1319_n77_snr_5 5 1.870000 1.983000
1 f2_4_x-c1319_n78_snr_0 0 1.358000 1.805000
1 f2_4_x-c1319_n78_snr_10 10 2.244000 2.418000
1 f2_4_x-c1319_n78_snr_15 15 2.559000 2.741000
1 f2_4_x-c1319_n78_snr_5 5 1.977000 2.066000
1 f2_4_x-c1319_STATION_ch01_snr_0 0 1.740000 2.128000
1 f2_4_x-c1319_STATION_ch01_snr_10 10 2.452000 2.725000
1 f2_4_x-c1319_STATION_ch01_snr_15 15 2.775000 2.965000
1 f2_4_x-c1319_STATION_ch01_snr_5 5 2.112000 2.435000
1 f2_4_x-c1319_STO_16k_ch01_snr_0 0 1.495000 1.703000
1 f2_4_x-c1319_STO_16k_ch01_snr_10 10 2.125000 2.341000
1 f2_4_x-c1319_STO_16k_ch01_snr_15 15 2.467000 2.715000
1 f2_4_x-c1319_STO_16k_ch01_snr_5 5 1.791000 1.966000
1 f2_4_x-c1319_TER_16k_ch01_snr_0 0 1.871000 2.192000
1 f2_4_x-c1319_TER_16k_ch01_snr_10 10 2.523000 2.801000
