speaker file snr pesq_noisy pesq_enhanced
1 f2_4_x-c0987_ARK_16k_ch01_snr_0 0 2.571000 2.743000
1 f2_4_x-c0987_ARK_16k_ch01_snr_10 10 3.339000 3.059000
1 f2_4_x-c0987_ARK_16k_ch01_snr_15 15 3.640000 3.127000
1 f2_4_x-c0987_ARK_16k_ch01_snr_5 5 3.004000 2.940000
1 f2_4_x-c0987_CAR_16k_ch01_snr_0 0 3.404000 3.061000
1 f2_4_x-c0987_CAR_16k_ch01_snr_10 10 3.953000 3.149000
1 f2_4_x-c0987_CAR_16k_ch01_snr_15 15 4.125000 3.155000
1 f2_4_x-c0987_CAR_16k_ch01_snr_5 5 3.715000 3.127000
1 f2_4_x-c0987_HEN_16k.ch01_snr_0 0 2.311000 2.631000
1 f2_4_x-c0987_HEN_16k.ch01_snr_10 10 3.046000 2.977000
1 f2_4_x-c0987_HEN_16k.ch01_snr_15 15 3.469000 3.077000
1 f2_4_x-c0987_HEN_16k.ch01_snr_5 5 2.687000 2.825000
1 f2_4_x-c0987_ING_16k_ch01_snr_0 0 2.195000 2.135000
1 f2_4_x-c0987_ING_16k_ch01_snr_10 10 2.952000 2.813000
1 f2_4_x-c0987_ING_16k_ch01_snr_15 15 3.248000 2.991000
1 f2_4_x-c0987_ING_16k_ch01_snr_5 5 2.597000 2.407000
1 f2_4_x-c0987_n16_snr_0 0 1.726000 1.644000
1 f2_4_x-c0987_n16_snr_10 10 2.086000 2.277000
1 f2_4_x-c0987_n16_snr_15 15 2.465000 2.591000
1 f2_4_x-c0987_n16_snr_5 5 1.830000 1.965000
1 f2_4_x-c0987_n17_snr_0 0 1.472000 1.517000
1 f2_4_x-c0987_n17_snr_10 10 1.902000 2.216000
1 f2_4_x-c0987_n17_snr_15 15 2.303000 2.533000
1 f2_4_x-c0987_n17_snr_5 5 1.604000 1.850000
1 f2_4_x-c0987_n28_snr_0 0 1.717000 1.780000
1 f2_4_x-c0987_n28_snr_10 10 2.207000 2.530000
1 f2_4_x-c0987_n28_snr_15 15 2.585000 2.819000
1 f2_4_x-c0987_n28_snr_5 5 1.907000 2.186000
1 f2_4_x-c0987_n29_snr_0 0 1.486000 2.082000
1 f2_4_x-c0987_n29_snr_10 10 2.270000 2.660000
