DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 noisy_f2_4_x-c0987_ARK_16k_ch01_snr_0.wav	 2.571	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_ARK_16k_ch01_snr_0.wav	 2.736	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_ARK_16k_ch01_snr_10.wav	 3.339	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_ARK_16k_ch01_snr_10.wav	 3.087	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_ARK_16k_ch01_snr_15.wav	 3.640	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_ARK_16k_ch01_snr_15.wav	 3.186	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_ARK_16k_ch01_snr_5.wav	 3.004	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_ARK_16k_ch01_snr_5.wav	 2.940	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_CAR_16k_ch01_snr_0.wav	 3.404	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_CAR_16k_ch01_snr_0.wav	 3.113	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_CAR_16k_ch01_snr_10.wav	 3.953	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_CAR_16k_ch01_snr_10.wav	 3.216	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_CAR_16k_ch01_snr_15.wav	 4.125	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_CAR_16k_ch01_snr_15.wav	 3.220	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_CAR_16k_ch01_snr_5.wav	 3.715	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_CAR_16k_ch01_snr_5.wav	 3.177	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_HEN_16k.ch01_snr_0.wav	 2.311	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_HEN_16k.ch01_snr_0.wav	 2.584	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_HEN_16k.ch01_snr_10.wav	 3.046	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_HEN_16k.ch01_snr_10.wav	 2.984	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_HEN_16k.ch01_snr_15.wav	 3.469	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_HEN_16k.ch01_snr_15.wav	 3.130	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_HEN_16k.ch01_snr_5.wav	 2.687	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_HEN_16k.ch01_snr_5.wav	 2.788	 0.000	 0	 16000	0.0000
 noisy_f2_4_x-c0987_ING_16k_ch01_snr_0.wav	 2.195	 0.000	 0	 16000	0.0000
 enhanced_f2_4_x-c0987_ING_16k_ch01_snr_0.wav	 2.142	 0.000	 0	 16000	0.0000
